,city_number,resources_remaining,severity,resources_allocated,resources_effectively_allocated,damage
194,4.0,17.792911529541016,6.0,9.057148933410645,9.057148933410645,1.7657108306884766
195,5.0,8.735762596130371,6.0,9.127490997314453,8.735762596130371,5.471405982971191
196,6.0,0.0,2.0,5.95867919921875,0.0,7.871406078338623
197,1.0,40.0,5.0,7.36464786529541,7.36464786529541,0.0
198,2.0,32.635353088378906,3.0,5.7597150802612305,5.7597150802612305,0.0
199,3.0,26.87563705444336,4.0,6.455329895019531,6.455329895019531,0.9268021583557129
200,4.0,20.420307159423828,3.0,5.84705114364624,5.84705114364624,2.1879818439483643
201,5.0,14.57325553894043,6.0,8.991971969604492,8.991971969604492,7.589587211608887
202,1.0,40.0,5.0,7.358641624450684,7.358641624450684,1.5848150253295898
203,2.0,32.641357421875,3.0,5.758142471313477,5.758142471313477,2.8815581798553467
204,3.0,26.883214950561523,5.0,7.8891801834106445,7.8891801834106445,7.303722381591797
205,1.0,40.0,7.0,9.090156555175781,9.090156555175781,0.0
206,2.0,30.90984344482422,4.0,6.611246585845947,6.611246585845947,0.0
207,3.0,24.29859733581543,3.0,5.921819686889648,5.921819686889648,0.0
208,4.0,18.37677764892578,4.0,6.960959434509277,6.960959434509277,0.0
209,5.0,11.415818214416504,8.0,9.188652992248535,9.188652992248535,0.0
210,6.0,2.2271652221679688,8.0,9.192302703857422,2.2271652221679688,7.372835159301758
211,7.0,0.0,6.0,9.102542877197266,0.0,14.572835922241211
212,8.0,0.0,8.0,9.181750297546387,0.0,24.172836303710938
213,9.0,0.0,7.0,9.058419227600098,0.0,32.572837829589844
214,10.0,0.0,4.0,5.738959312438965,0.0,37.37283706665039
215,1.0,40.0,2.0,5.530552387237549,5.530552387237549,0.0
216,2.0,34.46944808959961,6.0,8.71163558959961,8.71163558959961,0.0
217,3.0,25.7578125,5.0,8.082681655883789,8.082681655883789,0.0
218,4.0,17.67513084411621,4.0,7.077393531799316,7.077393531799316,0.5535640716552734
219,5.0,10.597737312316895,3.0,6.184680938720703,6.184680938720703,1.6796917915344238
220,6.0,4.413056373596191,4.0,7.634102821350098,4.413056373596191,5.597080707550049
221,1.0,40.0,5.0,7.33643913269043,7.33643913269043,0.13084840774536133
222,2.0,32.66355895996094,3.0,5.751298904418945,5.751298904418945,0.28006911277770996
223,3.0,26.912260055541992,4.0,6.434528350830078,6.434528350830078,2.506258010864258
224,4.0,20.477731704711914,5.0,8.0934419631958,8.0934419631958,6.887569427490234
225,1.0,40.0,5.0,7.3391218185424805,7.3391218185424805,0.0
226,2.0,32.6608772277832,6.0,8.85078239440918,8.85078239440918,0.0
227,3.0,23.810094833374023,4.0,6.900965690612793,6.900965690612793,0.0
228,4.0,16.909130096435547,5.0,8.603087425231934,8.603087425231934,0.0
229,5.0,8.306042671203613,8.0,9.189244270324707,8.306042671203613,1.2939577102661133
230,6.0,0.0,8.0,9.191191673278809,0.0,10.89395809173584
231,7.0,0.0,2.0,5.6995530128479,0.0,13.29395866394043
232,8.0,0.0,3.0,5.826707363128662,0.0,16.893959045410156
233,9.0,0.0,2.0,5.5172624588012695,0.0,19.29395866394043
234,1.0,40.0,5.0,7.315862655639648,7.315862655639648,0.0
235,2.0,32.68413543701172,2.0,5.549908638000488,5.549908638000488,0.0
236,3.0,27.134227752685547,5.0,7.807036399841309,7.807036399841309,0.0
237,4.0,19.327190399169922,6.0,8.997382164001465,8.997382164001465,0.002094268798828125
238,5.0,10.329808235168457,3.0,6.200910568237305,6.200910568237305,0.002094268798828125
239,6.0,4.128897666931152,6.0,9.113167762756348,4.128897666931152,5.550535202026367
240,7.0,0.0,6.0,9.097063064575195,0.0,12.75053596496582
241,1.0,40.0,2.0,5.523141860961914,5.523141860961914,0.0
242,2.0,34.47686004638672,5.0,7.358079433441162,7.358079433441162,0.0
243,3.0,27.1187801361084,3.0,5.755600452423096,5.755600452423096,0.0
244,4.0,21.36318016052246,4.0,6.45871639251709,6.45871639251709,0.0
245,5.0,14.904463768005371,3.0,5.847435474395752,5.847435474395752,0.09153866767883301
246,6.0,9.057027816772461,6.0,8.990866661071777,8.990866661071777,3.695192337036133
247,7.0,0.0661611557006836,5.0,8.72402286529541,0.0661611557006836,9.681960105895996
248,1.0,40.0,3.0,5.659437656402588,5.659437656402588,0.0
249,2.0,34.34056091308594,5.0,7.358572006225586,7.358572006225586,0.0
250,3.0,26.98198890686035,7.0,9.118216514587402,9.118216514587402,1.1054272651672363
251,4.0,17.863773345947266,4.0,6.9898481369018555,6.9898481369018555,1.7115187644958496
252,5.0,10.87392520904541,3.0,6.132489204406738,6.132489204406738,2.85852313041687
253,6.0,4.741436004638672,4.0,7.530953884124756,4.741436004638672,6.710236072540283
254,1.0,40.0,8.0,9.159236907958984,9.159236907958984,4.104457855224609
255,2.0,30.840763092041016,8.0,9.17324447631836,9.17324447631836,10.035160064697266
256,3.0,21.667518615722656,6.0,9.067495346069336,9.067495346069336,15.421661376953125
257,1.0,40.0,8.0,9.157920837402344,9.157920837402344,4.105247497558594
258,2.0,30.842079162597656,7.0,9.128595352172852,9.128595352172852,8.853809356689453
259,3.0,21.713483810424805,4.0,7.200216770172119,7.200216770172119,12.213766098022461
260,1.0,40.0,2.0,5.514476299285889,5.514476299285889,0.0
261,2.0,34.48552322387695,6.0,8.633092880249023,8.633092880249023,0.0
262,3.0,25.85243034362793,5.0,7.957729816436768,7.957729816436768,0.0
263,4.0,17.89470100402832,4.0,6.950643539428711,6.950643539428711,0.0
264,5.0,10.94405746459961,3.0,6.1111602783203125,6.1111602783203125,0.0
265,6.0,4.832897186279297,4.0,7.490353584289551,4.832897186279297,2.8668413162231445
266,7.0,0.0,5.0,8.714394569396973,0.0,8.866841316223145
267,1.0,40.0,3.0,5.643568515777588,5.643568515777588,0.21385884284973145
268,2.0,34.35643005371094,4.0,6.102290630340576,6.102290630340576,2.5729427337646484
269,3.0,28.254138946533203,5.0,7.473569393157959,7.473569393157959,7.078228950500488
270,1.0,40.0,5.0,7.156099319458008,7.156099319458008,0.0
271,2.0,32.843902587890625,6.0,8.767659187316895,8.767659187316895,0.0
272,3.0,24.076244354248047,4.0,6.742314338684082,6.742314338684082,0.0
273,4.0,17.33393096923828,5.0,8.477563858032227,8.477563858032227,0.0
274,5.0,8.856367111206055,8.0,9.180335998535156,8.856367111206055,0.7436332702636719
275,6.0,0.0,8.0,9.182992935180664,0.0,10.343633651733398
276,7.0,0.0,2.0,5.681921005249023,0.0,12.743633270263672
277,8.0,0.0,3.0,5.80359411239624,0.0,16.3436336517334
278,9.0,0.0,2.0,5.504748344421387,0.0,18.743633270263672
279,1.0,40.0,5.0,7.114850997924805,7.114850997924805,1.7310895919799805
280,2.0,32.88514709472656,2.0,5.526735305786133,5.526735305786133,1.9203956127166748
281,3.0,27.35841178894043,5.0,7.602299690246582,7.602299690246582,6.399935722351074
282,1.0,40.0,6.0,8.51476764678955,8.51476764678955,0.0
283,2.0,31.485233306884766,3.0,5.74362325668335,5.74362325668335,0.0
284,3.0,25.741609573364258,6.0,8.885757446289062,8.885757446289062,0.09139442443847656
285,4.0,16.855852127075195,6.0,9.042463302612305,9.042463302612305,1.8659167289733887
286,5.0,7.813388824462891,2.0,5.765050888061523,5.765050888061523,1.9598963260650635
287,6.0,2.048337936401367,5.0,8.914007186889648,2.048337936401367,7.550229072570801
288,1.0,40.0,3.0,5.623412609100342,5.623412609100342,0.0
